gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
pgrmc2,8.660321698771659,3.2279696496933927,1.0529853647487892,10.17184592602425,0.0014260143322507165,0.04686735764139468,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
sptbn5,18.01891665489894,2.979928459616855,0.8826266646677745,11.287692561713946,7.802259257433558e-4,0.03148557280088378,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
lpin1,21.344899846953123,-4.290520356772928,0.9991030956377608,15.65656466183004,7.594849082213154e-5,0.006725660798359871,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
apoba,31.958963179365075,5.7719797780778,1.0313804680742231,34.51643074269933,4.2266834938553356e-9,2.694933395682162e-6,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ldah,32.3616146900526,2.358885212820795,0.6574329865774352,13.682878247773594,2.164186471861322e-4,0.013325745773369856,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
abca1b,147.17052446762887,1.8519647775366452,0.5150278260124022,13.273917247198732,2.6912427563075935e-4,0.014792555012256221,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ergic1,7.442418683336601,3.784203220686655,1.2112509238130322,10.789282426789029,0.0010208944905856449,0.03701923486418073,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
elovl5,7.058816866364834,4.981664087442042,1.4706911262503597,15.053380766667317,1.0451288681349547e-4,0.00832967707903559,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ckba,32.09502221890987,2.429371862145362,0.6703483140026852,13.552281695420177,2.3200920397087337e-4,0.013780348531705292,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
pkma,19.03166292106193,2.899149057059371,0.8334720211159173,11.805252616254855,5.90638470245086e-4,0.025178233462287286,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
btbd11b,9.194388068760384,3.1441814331532476,1.0208886211867596,10.07765240246313,0.0015007842437578522,0.04784500169100033,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
chka,41.95268370045338,2.2035415811570593,0.5916473868625656,14.494155654137487,1.4059505998438994e-4,0.010671834553100836,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
tmod2,31.614741716042396,2.818694252942392,0.6504078358836016,19.360266352000387,1.082357803997166e-5,0.0015002420344099848,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
apoa4a,57.983863016878416,5.687768429080084,0.7737752675037861,60.853275936414974,6.149109413272314e-15,1.9603360809512135e-11,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
apoea,89.0945188183124,3.1855698938940478,0.636295630892917,24.41698747736495,7.758157336420506e-7,1.648867039233905e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
hephl1a,6.168777143535554,4.797966271130059,1.5141325264471641,12.902644174677999,3.2811826265969897e-4,0.017434017022652005,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
egln2,12.511026872822258,3.8927423088188244,1.1604112772827568,11.040591098504134,8.913843617183574e-4,0.035083127718001525,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
zgc:92630,19.095341091804507,2.7646785294299834,0.7726827404201381,13.70046019247097,2.144019429699466e-4,0.013325745773369856,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
hip1,34.04466591617569,3.7566411816262693,0.721802584826008,26.975689212473455,2.0603054830048362e-7,6.568253879819418e-5,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
zgc:162608,19.61300845017375,4.388679961165584,0.933909997310032,24.417047708006805,7.757914790906471e-7,1.648867039233905e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
agfg1a,30.650937513608305,3.492908491740337,0.7501437511993045,21.54396365254182,3.4580942065131723e-6,5.802318068612628e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
osbpl2b,33.64221508612268,2.352574550798781,0.6629932779818847,12.673523235919035,3.7087002000737226e-4,0.018767200377515916,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
slc25a33,15.752459937569206,-3.4798330416413137,0.9045606723279974,13.349424192736187,2.5850198403737867e-4,0.014535017252300353,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
g0s2,7.821912732892961,5.56584644866642,1.686694993158679,13.339457333635231,2.5987954309319956e-4,0.014535017252300353,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
st8sia7.1,14.9759035343939,2.6488541527913747,0.8168684348359437,10.916118547274412,9.533113795599965e-4,0.036124582728779095,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
cel.1,5.417522615795127,-5.094324332983632,1.7858490059106549,10.962508797662593,9.297385496545512e-4,0.036013974382577855,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
si:dkey-22f5.9,8.53129600702867,5.239919174173726,1.4195579164736338,18.42039669093974,1.7715156030535727e-5,0.002229270532670465,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
mpp1,50.03427082018047,1.8854315369613301,0.5807681220047378,10.697420896342472,0.0010728499211175545,0.03772624025073685,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
